"FUND TYPE","FUND CODE","FUND DESCRIPTION","DEPARTMENT NUMBER","DEPARTMENT DESCRIPTION","APPROPRIATION AUTHORITY","APPROPRIATION AUTHORITY DESCRIPTION","APPROPRIATION ACCOUNT","APPROPRIATION ACCOUNT DESCRIPTION","2024 ORDINANCE (AMOUNT $)"
"LOCAL","0100","Corporate Fund","99","Finance General","2005","Finance General","9980","Municipal Fund Pension Allocation","$358,222,830.00"
"LOCAL","0100","Corporate Fund","99","Finance General","2005","Finance General","9981","Laborers' Fund Pension Allocation","$25,426,000.00"
"LOCAL","0100","Corporate Fund","99","Finance General","2005","Finance General","9982","Policemen's Fund Pension Allocation","$104,141,000.00"
"LOCAL","0100","Corporate Fund","99","Finance General","2005","Finance General","9983","Firemen's Fund Pension Allocation","$54,556,000.00"
"LOCAL","0100","Corporate Fund","99","Finance General","2005","Finance General","9984","Municipal Fund Advance Pension Payment","$142,301,000.00"
"LOCAL","0100","Corporate Fund","99","Finance General","2005","Finance General","9985","Laborers' Fund Advance Pension Payment","$12,571,000.00"
"LOCAL","0100","Corporate Fund","99","Finance General","2005","Finance General","9986","Policemen's Fund Advance Pension Payment","$78,170,000.00"
"LOCAL","0100","Corporate Fund","99","Finance General","2005","Finance General","9987","Firemen's Fund Advance Pension Payment","$26,464,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0003","Scheduled Wage Adjustments","$754,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0029","For Health Maintenance Organization Premiums (HMO) Provided to Eligible Employees and Their Families","$5,392,342.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0042","For the Costs of Claims and Administration for Hospital and Medical Care Provided to Eligible Employees  Provided However  That All Payments to the In...","$19,506,382.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0045","For the Cost of Claims and Administration or Premiums for Term Life Insurance","$191,043.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0049","Claims and Costs of Administration Pursuant to the Workers' Compensation Act","$13,344,660.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0051","Claims Under Unemployment Insurance Act","$507,896.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0052","Costs of Claims and Administration for Hospital and Medical Care to Eligible Annuitants and Their Eligible Dependents","$362,180.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0056","For the Cost of Claims and Administration or Premiums for a Co-Insured Dental Plan for Employees","$826,006.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0070","Tuition Reimbursement and Educational Programs","$150,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0085","City Deferred Compensation Contributions for Union Members","$662,781.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0128","Investigation Costs.  To Be Expended at the Direction of the Comptroller","$602,550.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0130","Postage","$247,754.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0138","For Professional Services for Information Technology Maintenance","$5,734,645.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0139","For Professional Services for Information Technology Development","$2,670,807.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$7,676,942.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0142","Accounting and Auditing","$442,500.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0149","For Software Maintenance and Licensing","$25,025.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0172","For the Cost of Insurance Premiums and Expenses","$2,286,583.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0902","For Interest on Bonds","$92,282,794.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0905","For Payment to Metropolitan Sanitary District for Wastewater Services","$6,800,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0912","For Payment of Bonds","$85,780,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0931","For the Payment of Tort and Non-Tort Judgments, Outside Counsel Expenses and Expert Costs, as Approved by the Corporation Counsel","$6,800,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0934","Claims for Damages and Liabilities Against the City When Ordered Paid by the City Council","$15,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0943","For Interest on Loans","$23,269,475.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0944","For Payment on Loans","$45,436,362.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0958","For Payment of Water Pipe Extension Certificates","$100,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","0959","For Bond Fees and Costs","$47,100.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9027","For the City Contribution to Social Security Tax","$40,166.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9067","For Physical Exams","$30,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9076","City's Contribution to Medicare Tax","$1,700,162.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9611","To Reimburse the Corporate Fund for Indirect Costs Chargeable to Fund","$70,964,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9645","To Reimburse the Corporate Fund for Indirect Pension Costs Chargeable to Fund","$23,694,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9765","Transfer for Contractual Services","$625,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9773","Transfer for Services Provided by the Department of Police","$1,470,301.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9774","Transfer for Services Provided by the Office of Emergency Management and Communication","$325,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9980","Municipal Fund Pension Allocation","$52,957,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9981","Laborers' Fund Pension Allocation","$22,448,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9984","Municipal Fund Advance Pension Payment","$12,448,000.00"
"LOCAL","0200","Water Fund","99","Finance General","2005","Finance General","9985","Laborers' Fund Advance Pension Payment","$3,610,000.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0003","Scheduled Wage Adjustments","$468,000.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0029","For Health Maintenance Organization Premiums (HMO) Provided to Eligible Employees and Their Families","$3,077,271.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0042","For the Costs of Claims and Administration for Hospital and Medical Care Provided to Eligible Employees  Provided However  That All Payments to the In...","$11,131,792.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0045","For the Cost of Claims and Administration or Premiums for Term Life Insurance","$109,023.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0049","Claims and Costs of Administration Pursuant to the Workers' Compensation Act","$12,240,000.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0051","Claims Under Unemployment Insurance Act","$306,231.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0052","Costs of Claims and Administration for Hospital and Medical Care to Eligible Annuitants and Their Eligible Dependents","$206,687.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0056","For the Cost of Claims and Administration or Premiums for a Co-Insured Dental Plan for Employees","$471,380.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0070","Tuition Reimbursement and Educational Programs","$25,000.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0085","City Deferred Compensation Contributions for Union Members","$314,545.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0128","Investigation Costs.  To Be Expended at the Direction of the Comptroller","$113,300.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0138","For Professional Services for Information Technology Maintenance","$3,616,049.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0139","For Professional Services for Information Technology Development","$234,750.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$6,544,182.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0142","Accounting and Auditing","$150,000.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0931","For the Payment of Tort and Non-Tort Judgments, Outside Counsel Expenses and Expert Costs, as Approved by the Corporation Counsel","$11,800.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0934","Claims for Damages and Liabilities Against the City When Ordered Paid by the City Council","$375,000.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0989","For Refunds for Cancelled Voucher Warrants and Payroll Checks and for Refunding Duplicate Payments and Payments Made in Error","$765,000.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","0991","To Provide for Matching and Supplementary Grant Funds Currently in Effect as Well as New Grants","$410,000.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","9027","For the City Contribution to Social Security Tax","$24,275.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","9076","City's Contribution to Medicare Tax","$1,027,533.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","9281","Reserved for Excess Expenses Related to Snow Events","$500,000.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","9610","To Reimburse Corporate Fund for Pension Payments","$40,375,668.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","9611","To Reimburse the Corporate Fund for Indirect Costs Chargeable to Fund","$12,580,196.00"
"LOCAL","0300","Vehicle Tax Fund","99","Finance General","2005","Finance General","9774","Transfer for Services Provided by the Office of Emergency Management and Communication","$10,000.00"
"LOCAL","0310","Motor Fuel Tax Fund","99","Finance General","2005","Finance General","0003","Scheduled Wage Adjustments","$234,000.00"
"LOCAL","0310","Motor Fuel Tax Fund","99","Finance General","2005","Finance General","9189","For Payment of the Annual Contribution to the Chicago Transit Authority (CTA)","$3,000,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0003","Scheduled Wage Adjustments","$235,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0029","For Health Maintenance Organization Premiums (HMO) Provided to Eligible Employees and Their Families","$1,456,722.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0042","For the Costs of Claims and Administration for Hospital and Medical Care Provided to Eligible Employees  Provided However  That All Payments to the In...","$5,269,580.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0045","For the Cost of Claims and Administration or Premiums for Term Life Insurance","$51,610.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0049","Claims and Costs of Administration Pursuant to the Workers' Compensation Act","$6,694,423.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0051","Claims Under Unemployment Insurance Act","$182,992.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0052","Costs of Claims and Administration for Hospital and Medical Care to Eligible Annuitants and Their Eligible Dependents","$97,842.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0056","For the Cost of Claims and Administration or Premiums for a Co-Insured Dental Plan for Employees","$223,142.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0070","Tuition Reimbursement and Educational Programs","$30,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0085","City Deferred Compensation Contributions for Union Members","$180,996.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0128","Investigation Costs.  To Be Expended at the Direction of the Comptroller","$103,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0130","Postage","$247,754.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0138","For Professional Services for Information Technology Maintenance","$2,123,600.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0139","For Professional Services for Information Technology Development","$2,183,734.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,233,733.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0142","Accounting and Auditing","$150,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0149","For Software Maintenance and Licensing","$25,025.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0166","Dues, Subscriptions and Memberships","$75,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0172","For the Cost of Insurance Premiums and Expenses","$2,198,037.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0902","For Interest on Bonds","$83,450,302.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0912","For Payment of Bonds","$54,012,419.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0931","For the Payment of Tort and Non-Tort Judgments, Outside Counsel Expenses and Expert Costs, as Approved by the Corporation Counsel","$383,133.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0934","Claims for Damages and Liabilities Against the City When Ordered Paid by the City Council","$25,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0943","For Interest on Loans","$21,080,796.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0944","For Payment on Loans","$42,652,484.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","0959","For Bond Fees and Costs","$40,900.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9027","For the City Contribution to Social Security Tax","$14,134.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9076","City's Contribution to Medicare Tax","$598,267.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9097","For Capital Construction","$25,039,439.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9148","To Provide for Senior Citizens - Rebate of Sewer Services When Senior Occupies Multi-Family Residency or Condominium","$350,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9611","To Reimburse the Corporate Fund for Indirect Costs Chargeable to Fund","$37,213,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9645","To Reimburse the Corporate Fund for Indirect Pension Costs Chargeable to Fund","$14,577,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9774","Transfer for Services Provided by the Office of Emergency Management and Communication","$120,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9980","Municipal Fund Pension Allocation","$13,349,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9981","Laborers' Fund Pension Allocation","$14,873,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9984","Municipal Fund Advance Pension Payment","$3,179,000.00"
"LOCAL","0314","Sewer Fund","99","Finance General","2005","Finance General","9985","Laborers' Fund Advance Pension Payment","$2,392,000.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0003","Scheduled Wage Adjustments","$403,000.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0029","For Health Maintenance Organization Premiums (HMO) Provided to Eligible Employees and Their Families","$2,086,786.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0042","For the Costs of Claims and Administration for Hospital and Medical Care Provided to Eligible Employees  Provided However  That All Payments to the In...","$7,548,789.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0045","For the Cost of Claims and Administration or Premiums for Term Life Insurance","$73,932.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0049","Claims and Costs of Administration Pursuant to the Workers' Compensation Act","$605,880.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0051","Claims Under Unemployment Insurance Act","$261,417.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0052","Costs of Claims and Administration for Hospital and Medical Care to Eligible Annuitants and Their Eligible Dependents","$140,160.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0056","For the Cost of Claims and Administration or Premiums for a Co-Insured Dental Plan for Employees","$319,657.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0070","Tuition Reimbursement and Educational Programs","$150,000.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0085","City Deferred Compensation Contributions for Union Members","$176,902.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0139","For Professional Services for Information Technology Development","$7,941.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$327,199.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0142","Accounting and Auditing","$110,000.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0450","Vehicles","$160,000.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","0955","Interest on Library Financing","$2,200,000.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","9027","For the City Contribution to Social Security Tax","$20,682.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","9076","City's Contribution to Medicare Tax","$875,431.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","9112","Property Maintenance Contract for the Harold Washington Library Center","$9,850,396.00"
"LOCAL","0346","Library Fund","99","Finance General","2005","Finance General","9980","Municipal Fund Pension Allocation","$4,692,000.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0003","Scheduled Wage Adjustments","$403,000.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0029","For Health Maintenance Organization Premiums (HMO) Provided to Eligible Employees and Their Families","$1,933,165.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0042","For the Costs of Claims and Administration for Hospital and Medical Care Provided to Eligible Employees  Provided However  That All Payments to the In...","$6,993,074.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0045","For the Cost of Claims and Administration or Premiums for Term Life Insurance","$68,489.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0051","Claims Under Unemployment Insurance Act","$15,816.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0052","Costs of Claims and Administration for Hospital and Medical Care to Eligible Annuitants and Their Eligible Dependents","$129,842.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0056","For the Cost of Claims and Administration or Premiums for a Co-Insured Dental Plan for Employees","$296,125.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0085","City Deferred Compensation Contributions for Union Members","$221,014.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0138","For Professional Services for Information Technology Maintenance","$2,293,142.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0139","For Professional Services for Information Technology Development","$98,616.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,953.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","9611","To Reimburse the Corporate Fund for Indirect Costs Chargeable to Fund","$4,249,737.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","9980","Municipal Fund Pension Allocation","$21,892,000.00"
"LOCAL","0353","Emergency Communication Fund","99","Finance General","2005","Finance General","9984","Municipal Fund Advance Pension Payment","$5,268,000.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0003","Scheduled Wage Adjustments","$26,000.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0029","For Health Maintenance Organization Premiums (HMO) Provided to Eligible Employees and Their Families","$208,947.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0042","For the Costs of Claims and Administration for Hospital and Medical Care Provided to Eligible Employees  Provided However  That All Payments to the In...","$755,850.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0045","For the Cost of Claims and Administration or Premiums for Term Life Insurance","$7,403.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0049","Claims and Costs of Administration Pursuant to the Workers' Compensation Act","$60,588.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0051","Claims Under Unemployment Insurance Act","$29,877.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0052","Costs of Claims and Administration for Hospital and Medical Care to Eligible Annuitants and Their Eligible Dependents","$14,034.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0149","For Software Maintenance and Licensing","$25,025.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0056","For the Cost of Claims and Administration or Premiums for a Co-Insured Dental Plan for Employees","$32,007.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0085","City Deferred Compensation Contributions for Union Members","$246,096.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$767,053.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","0991","To Provide for Matching and Supplementary Grant Funds Currently in Effect as Well as New Grants","$2,521,308.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","9027","For the City Contribution to Social Security Tax","$2,076.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","9076","City's Contribution to Medicare Tax","$87,882.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","9610","To Reimburse Corporate Fund for Pension Payments","$3,599,000.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","9611","To Reimburse the Corporate Fund for Indirect Costs Chargeable to Fund","$1,794,352.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","9771","Transfer for Services Provided by the Department of Assets, Information, and Services","$134,400.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","9773","Transfer for Services Provided by the Department of Police","$120,000.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","9774","Transfer for Services Provided by the Office of Emergency Management and Communication","$34,800.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","9775","Transfer for Services Provided by the Fire Department","$21,000.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","9776","Transfer for Services Provided by the Department of Streets and Sanitation","$9,000.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","99","Finance General","2005","Finance General","9778","Transfer for Services Provided by the Chicago Department of Aviation","$35,000.00"
"LOCAL","0510","Bond Redemption and Interest Series Fund","99","Finance General","2005","Finance General","0902","For Interest on Bonds","$283,840,000.00"
"LOCAL","0510","Bond Redemption and Interest Series Fund","99","Finance General","2005","Finance General","0912","For Payment of Bonds","$198,853,000.00"
"LOCAL","0510","Bond Redemption and Interest Series Fund","99","Finance General","2005","Finance General","0960","For Loss in Collection of Taxes","$9,587,000.00"
"LOCAL","0521","Library Note Redemption and Interest Tender Notes Series ""B"" Fund","99","Finance General","2005","Finance General","0960","For Loss in Collection of Taxes","$4,881,000.00"
"LOCAL","0521","Library Note Redemption and Interest Tender Notes Series ""B"" Fund","99","Finance General","2005","Finance General","0961","For Payment of Term Notes","$117,145,000.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0003","Scheduled Wage Adjustments","$2,695,000.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0029","For Health Maintenance Organization Premiums (HMO) Provided to Eligible Employees and Their Families","$1,505,064.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0042","For the Costs of Claims and Administration for Hospital and Medical Care Provided to Eligible Employees  Provided However  That All Payments to the In...","$5,444,455.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0043","For the Health Maintenance Organization Premiums or Cost of Claims and Administration for Hospital and Medical Care Provided to Police and Fire Depart...","$57,528.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0045","For the Cost of Claims and Administration or Premiums for Term Life Insurance","$53,322.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0049","Claims and Costs of Administration Pursuant to the Workers' Compensation Act","$192,780.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0051","Claims Under Unemployment Insurance Act","$97,844.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0052","Costs of Claims and Administration for Hospital and Medical Care to Eligible Annuitants and Their Eligible Dependents","$101,089.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0056","For the Cost of Claims and Administration or Premiums for a Co-Insured Dental Plan for Employees","$230,548.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0085","City Deferred Compensation Contributions for Union Members","$1,736.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0138","For Professional Services for Information Technology Maintenance","$1,652,927.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$2,006,227.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0142","Accounting and Auditing","$470,500.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0145","Legal Expenses","$847,000.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0161","Operation, Repair or Maintenance of Facilities","$20,000.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0172","For the Cost of Insurance Premiums and Expenses","$4,131,855.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0245","Reimbursement to Travelers","$5,000.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0902","For Interest on Bonds","$68,926,842.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0912","For Payment of Bonds","$71,260,000.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0931","For the Payment of Tort and Non-Tort Judgments, Outside Counsel Expenses and Expert Costs, as Approved by the Corporation Counsel","$4,500.00"
"LOCAL","0610","Chicago Midway Airport Fund","99","Finance General","2005","Finance General","0959","For Bond Fees and Costs","$5,855,182.00"
